id,composition,Eg
813,Tl3VS4,1.97
814,CuCl,3.27
815,Na2Be4B4O11,7.3
816,Ce2S3,1.12
817,RhP2,1
818,Ga0.99As0.99Zn0.01Se0.01,1.39
819,Cd3As2,0.64
820,CuI,2.8
821,Sb2Se3,1.3
822,Ce2Ge2Se7,1.1
823,ZnAs2,0.91
824,NaBiS2,0.38
825,ZnO,3.46
826,Hg0.25Zn0.75Te,1.37
827,As2Te3,1.75
828,Eu7Ga6Sb8,0.6
829,ZnS,3.74
830,SmBiW2O9,3.39
831,CrSi2,1.3
832,PbS,0.41
833,Ga0.99Sb0.99Hg0.01Te0.01,0.72
834,YPtSb,0.16
835,ZnSe,2.71
836,OsSbS,1.2
837,CdS,2.44
838,Sb2S3,1.92
839,K4GeP4Se12,2
840,AgBiSe2,0.34
841,CsInS2,3.4
842,In0.3As0.3Ga0.7P0.7,2.05
843,NaAsSe2,1.75
844,TlCl,3.47
845,Cs2AgBiCl6,2.77
846,CdSnP2,1.5
847,CuGaS2,2.53
848,Ba2GaBiTe5,1.43
849,Ca3B2N4,4.1
850,BaUSe3,1
851,Sb2Se3,1.4
852,SmIn3S6,1.18
853,ZnIn2S4,2.8
854,Cu0.5Pb1.75GeS4,1.48
855,ZnTe,2.26
856,PAs,0.23
857,FeAsSe,0.6
858,Sb2O3,3.31
859,KInGeS4,3.1
860,Ba2SnSe5,1.8
861,ZrS3,2.28
862,Mn15Si26,0.7
863,Pb0.94Se0.94Sn0.06Se0.06,0.19
864,Hg0.9Cd0.1Se,1.3
865,HoN,1.9
866,Zn3Sb2,0.2
867,Cu0.2Ga1.8Se2.8,1.86
868,Rb2CdP2Se6,2.58
869,Pb0.92Se0.92Sn0.08Te0.08,0.22
870,Ag3SbS3,1.81
871,Cs2Hg4.65Cd1.35S7,1.84
872,TiSe2,1.55
873,In0.7P0.7Ga0.3As0.3,1.58
874,SnI2,2.4
875,GaS,2.58
876,Bi2Te1.5Se1.5,0.29
877,Pb0.85Se0.85Ge0.15S0.15,0.34
878,NaI,5.8
879,OsP2,1.13
880,CdSiP2,1.8
881,Na2In4SSe6,1.92
882,CuAlSe2,2.7
883,Cu3YbS3,1.56
884,RbSbTe2,0.38
885,Pb3BiP3O12,3.7
886,Ce8Sb2S15,1.99
887,Ba2Ca2B4O10,5.6
888,ZnSb,1.11
889,K2AgVS4,1.85
890,BaCuSbSe3,1.6
891,GaHSeO4,5.51
892,GaSe,2.15
893,Ga0.75As0.75Zn0.25Se0.25,1.51
894,ZnS,3.73
895,RbBiSe2,0.92
896,GeSe2,2.38
897,Cu0.4Ga1.6S2.6,2.45
898,ZnTe,2.37
899,ZnTe,2.34
900,Cs3Nb9Te4O32,3.22
901,Cd5Ga2S2Te6,1.29
902,AgSbS2,1.9
903,In0.01P0.01Ga0.99As0.99,1.43
904,BiCuOSe,0.82
905,Cu4Sn7S16,0.8
906,ZnTe,2.2
907,Ce1.3Lu0.7S3,1.25
908,InP,1.35
909,LiGaS2,3.76
910,Ag2.7Ba6Sn4.3S16,1.58
911,Sm2YbCuS5,1.28
912,Pb0.85Sn0.15Se,0.13
913,K2Hg3Ge2S8,2.64
914,CsScSe2O6,5.2
915,CdTe,1.44
916,GaN,3.21
917,La2HfS5,0.7
918,PbSe,0.22
919,Ba2B4O9H2,5.12
920,ZrSe3,1.6
921,Cu2Se,1.5
922,CdGa2Se4,2.75
923,InN,2.4
924,AgAsS2,2.26
925,SnS0.01Se0.99,0.89
926,Mg3Sb2,0.8
927,ZrC,0.6
928,NaI,6.75
929,CdSnP2,1.17
930,PtS,0.64
931,TaGaS2,2.45
932,CsBiS2,1.39
933,ZnSe,2.69
934,Sr2ScSbO6,3.57
935,CdGa2S4,3.44
936,KBiSe2,0.67
937,HgTe,0.18
938,La3FMo4O16,3.7
939,TlN3,3.58
940,Sb2Se3,1.13
941,VO2,0.4
942,Cs4Th2P6S18,2.8
943,Mg2Si,2.27
944,CsSbTe2,0.43
945,Ga0.6In0.4As,0.81
946,In0.99As0.99Cd0.01Te0.01,0.76
947,Ga0.5In0.5As,0.75
948,PbSe,0.29
949,RbBi3Se5,0.48
950,TbIn3S6,1.2
951,PbCoO3,0.28
952,KSbSe2,1.72
953,RbH2I3O9,4.07
954,EuN,1.25
955,CuAlTe2,2.06
956,Bi2Te0.3Se2.7,0.24
957,La2Se3,1.97
958,Tl3VS4,1.7
959,Na2Ti3O7,3.51
960,Pb0.995TeIn0.005,0.43
961,CdSe,1.85
962,In0.9As0.9Ga0.1P0.1,0.45
963,RbCaBO3,3.67
964,CuInS2,1.57
965,ZnO,3.2
966,Cu0.5Ga1.5Se2.5,1.76
967,KGaSe2,2.6
968,KIO3,3.83
969,Ga0.9Sb0.9Zn0.1Te0.1,1
970,PdTe2,1.8
971,Zn3B2O6,2.6
972,CuGaSe2,1.71
973,RbNb3Te2O12,3.49
974,Tl2S,1
975,ZnS,3.68
976,CdAs2,1
977,LiGaSe2,3.57
978,CdSe,1.86
979,GaTc,1.42
980,CdIn2S4,2.7
981,GaAs,1.52
982,AlSb,1.52
983,Pb0.85Sn0.15Te,0.15
984,Pb0.77Sn0.23Te,0.04
985,CdSiP2,2.2
986,K2Se,1.8
987,SbSI,1.93
988,In6Se7,0.34
989,Sb2Se3,1.15
990,InP,1.42
991,GaAs0.8P0.2,1.62
992,Bi24BO39,2.91
993,Cu2MgGeS4,2.36
994,BaGa2GeS6,3.26
995,K10Co4Sn4S17,1.31
996,PbS,0.31
997,K2.15Pb1.7Sb8.15Se15,0.6
998,Hg6.5As4CdCl6,2.05
999,PbS,0.38
1000,CdS,2.66
1001,CsAsSe2,2
1002,TlCr5S5Se3,0.89
1003,AgSbTe2,0.48
1004,NaInTe2O6,4
1005,CdS,2.58
1006,Pb3Cl4TeO3,3.79
1007,Na0.5Pb1.75GeS4,2.08
1008,LiAsS2,1.6
1009,Cs4Ag9Sb4S12,2
1010,CuGa3Se5,1.89
1011,RuP2,1
1012,InSb,0.22
1013,ZnO,3.26
1014,AgGaS2,2.64
1015,CaI2,5.98
1016,GaAs0.99P0.01,1.37
1017,PbTe,0.22
1018,Nd2O3,4.4
1019,GeO2,5.54
1020,Hg0.77Cd0.23Te,0.21
1021,RbPbPO4,4.35
1022,Li2MoTeO6,3.5
1023,CuIn3Te5,1.01
1024,LiGd5P2O13,3.73
1025,AgS,1.34
1026,Li2HgSiS4,2.68
1027,InN,2.21
1028,CdSb,0.53
1029,EuTb2Se4,2
1030,As2S3,2.6
1031,GaSe,2.07
1032,CdGa2Se4,2.41
1033,CdSiAs2,1.51
1034,KBiCu2S3,1.29
1035,PbSe,0.28
1036,ZnIn2Se4,1.95
1037,InSe,1.29
1038,In2Bi3Se7I,1.38
1039,SbSBr,2.22
1040,Pb0.99TeIn0.01,0.53
1041,K2MnSnSe4,1.7
1042,IrSe2,0.9
1043,VFeSb,0.46
1044,LaGaS3,2.5
1045,CsBi2,0.55
1046,PbSnS3,0.9
1047,GeSe,1.38
1048,CaTe,4.3
1049,ZnIn2Se4,2.05
1050,RbNbSe2O7,4.1
1051,HgIn2Te4,1.17
1052,CdS0.55Se0.45,2.05
1053,K2S,2.1
1054,Zn0.99Hg0.01Se,2.6
1055,Tl4CdI6,2.8
1056,Cu0.1In1.9Se2.9,1.45
1057,PbTe,0.33
1058,BaSe,3.7
1059,HgBr2,3.59
1060,Cd3P2,0.53
1061,Ga1.1Sb0.9Te0.3,0.7
1062,Ag2O,1.6
1063,Cd3Sb2,0.3
1064,CsTm9Cd4Se18,2.16
1065,Bi2Te0.4Se2.6,0.7
1066,EuTe,2.06
1067,NaYTe4O10,3.9
1068,K2La2Ti3O10,3.05
1069,Pb0.99Ge0.01Se,0.27
1070,TlInTe2,0.62
1071,Pb0.9Se0.9Ge0.1S0.1,0.32
1072,K2Mo2Se2O11,3.3
1073,ZnIn2S4,2.6
1074,PbBr2,3.31
1075,As2S5,2.48
1076,LaCuOSe,2.83
1077,NaH3Se2O6,4.9
1078,IrSSe,1.2
1079,GaAs,1.43
1080,GeS,1.68
1081,MgO,7.7
1082,SbSI,1.95
1083,GaN,3.5
1084,Cu2ZnSiTe4,1.47
1085,OsAs2,0.92
1086,CdTeO3,3.91
1087,Pb0.85Sn0.15Te,0.23
1088,KIO3,4.02
1089,Hg4As2UCl6,1.9
1090,RhS3,1.5
1091,AgNb2PS10,1.78
1092,ZnS,3.56
1093,Sm3S3BO3,2.5
1094,GdScS3,2.1
1095,In6S7,0.89
1096,EuIn2Se4,1.31
1097,Cs2AgBiBr6,2.19
1098,Pb0.9Sn0.1Se,0.17
1099,PbS,0.39
1100,LiGaTe2,2.31
1101,CdSiP2,2.4
1102,OsSb2,0.21
1103,CeTaN2O,1.9
1104,Ag3AsS3,2.03
1105,Ce4InSbSe9,1.69
1106,CdS,2.66
1107,YN,1.9
1108,CdSnP2,1.16
1109,TbClWO4,4.24
1110,CdIn2Se4,1.3
1111,LiAsSe2,1.1
1112,RbCl,8.5
1113,ZnAs2,0.92
1114,CoSb2,0.2
1115,SnS0.99Se0.01,1.11
1116,BaPdI4O12,1.97
1117,Fe2O3,2.2
1118,Hg0.2Zn0.8Te,1.4
1119,Ge0.88Si0.12,0.84
1120,GaSe,2.1
1121,NaSbP2S6,2.17
1122,K2Ge3B2O10,5.38
1123,Bi2S3,1.4
1124,Pr2GeSe5,1.8
1125,SrTiO3,3.4
1126,Ag3SbS3,2.02
1127,As2S3,3
1128,As2S3,2.06
1129,Rb2CuVS4,1.85
1130,Rb4Mo5P2O22,3.51
1131,InAs,0.43
1132,Ag3SbS3,2.33
1133,K2CuVS4,1.82
1134,GaAs,1.52
1135,Cu3TbSe3,0.16
1136,Sm2Se3,2.3
1137,AgInS2,1.9
1138,Cs4Cu3Bi9S17,0.6
1139,LiB3O5,8
1140,Bi2V2Se4O16,2.2
1141,Mg2GeSe4,2.02
1142,CdIn2Se4,2
1143,In0.99P0.99Ga0.01As0.01,1.3
1144,CdS,2.59
1145,NaBr,7.26
1146,CdGeAs2,0.65
1147,OsSb2,0.2
1148,GaAs0.01Sb0.99,1.37
1149,BiBr3,2.66
1150,Ga0.99Al0.01P,2.27
1151,CdSb,0.46
1152,ReSe2,1.15
1153,EuS,1.65
1154,Pb2BO3Cl,3.99
1155,Pb0.96TeIn0.04,0.37
1156,CsInSe2,2.81
1157,In0.6As0.6Ga0.4P0.4,1.25
1158,Ga0.5As0.5Zn0.5Se0.5,1.52
1159,Na2CsSb,0.8
1160,TlInS2,2.2
1161,ZnIn2Te4,1.87
1162,Ag3AsSe3,2.2
1163,K10Co4Sn4S17,1.8
1164,OsPS,1.4
1165,CuGa1.6In0.4S3.5,2.15
1166,Cu3SmS3,1.82
1167,ZnGeAs2,1.1
1168,InSb0.01As0.99,0.17
1169,Gd2Mo3O12,4.18
1170,PbBr2,3.5
1171,Ba2BiInS5,1.55
1172,BiFeSe3O9,2.54
1173,Cu2CdSnSe4,0.96
1174,Li3ScN2,2.9
1175,InBi2Se4Br,1.21
1176,GeS2,3.54
1177,Pb0.999TeIn0.001,0.3
1178,CuSbS2,1.38
1179,CaO,7.03
1180,LiMoIO6,2.8
1181,Hg0.9Cd0.1Se,1.32
1182,Pb0.8Ge0.2Se,0.35
1183,TlSbS2,1.42
1184,Cs2Hg3I8,2.56
1185,Ba2InSmSe5,2.22
1186,SbSeBr,1.87
1187,K2Al2B2O7,6.89
1188,PbTe,0.21
1189,CuInS2,1.54
1190,AlSb,1.32
1191,Zn0.9S0.9Ga0.1P0.1,2.8
1192,Ag2O,1.4
1193,Sb2Te3,0.3
1194,CsHgInS3,2.3
1195,Ge0.542Si0.458,2.24
1196,CuInTe2,0.89
1197,HgGa2Se4,1.95
1198,Sr3Ti2O7,3.26
1199,RuTe2,0.25
1200,CdTe,1.53
1201,CuInGeSe4,1.3
1202,GeTe2,0.3
1203,Zn3V2TeO10,2.96
1204,Zn3As2,0.51
1205,K2Hg3S1.03Se2.97,2.11
1206,NaSbP2S6,2.25
1207,InSb,0.24
1208,YNiSb,0.18
1209,NaAsSe2,1.57
1210,PbI2,2.41
1211,As2S3,2.1
1212,RbMn4Ga5Te12,1.53
1213,Cs2Hg5.75Cd0.25S7,1.66
1214,NiO,4
1215,CsI,6.4
1216,Se2B2O7,4.64
1217,Cd3P2,0.5
1218,SiTe2,1.85
1219,Cs2PdP2Se6,1.6
1220,Cu2SnSe3,0.7
1221,LaCuOTe,2.31
1222,BaSi2,1.3
1223,K2CeP2O8,2.46
1224,GaAs0.6P0.4,1.91
1225,Li2HgSnS4,2.32
1226,NaCl,8.5
1227,CdIn2S4,2.3
1228,Pb0.95Ge0.05Te,0.34
1229,InN,2.09
1230,KI,5.92
1231,As2Te3,1.62
1232,BSb,2.6
1233,CrO3,1.4
1234,CsBiSe2,1.07
1235,Mg3As2,2.2
1236,CsCu2SbS3,1.63
1237,AsI3,2.47
1238,Hg2Cl2,3.8
1239,Bi2Cu0.96Se3I,0.68
1240,CdS0.01Se0.99,1.68
1241,NaAsSe2,1.56
1242,TlSe,0.96
1243,Rb4Ag9Sb4S12,2
1244,AgIn9Te14,1.5
1245,Ba2SnSe4,1.9
1246,SnS,1.26
1247,BiOCl,3.46
1248,ZnO,3.44
1249,TiNiSb,0.42
1250,ZnS,3.67
1251,Cu0.01Ga1.99Se2.99,1.99
1252,Cu0.5In1.5Se2.5,1.24
1253,Na8Al8Si38,0.64
1254,AgI,2.92
1255,Cu0.3Ga1.7S2.7,2.6
1256,Ge2Sb2Te5,0.5
1257,CsPbPO4,4.39
1258,KH3Se2O6,4.9
1259,PdPAs,0.45
1260,K2Sm2Ti3O10,3.26
1261,Sn2WO5,2.6
1262,Pb0.95Se0.95Sn0.05Se0.05,0.19
1263,Ga2O3,4.4
1264,SnSe2,1.62
1265,Ga2O3,4.54
1266,RbBiS2,1.2
1267,NdB6,4.9
1268,GaAs0.5P0.5,2
1269,CsZn4In5Te12,1.61
1270,NiP2,0.3
1271,CsYbMnSe3,1.59
1272,Ba4AgGa5S12,2.52
1273,KInS2,3
1274,Ag2HgI4,2.47
1275,K10Zn4Sn4S17,3.1
1276,Gd1.87Lu2.13Se6,1.56
1277,Cs2SnP2Se6,2.06
1278,PdPS,1.4
1279,HgPS3,2.6
1280,AgInSe2,1.2
1281,CoTe1.88,0.2
1282,SrIr4In2Ge4,0.25
1283,NaSbF6,3.76
1284,CdIn8Te13,1.02
1285,Cu3GdTe3,0.52
1286,RbI,6.26
1287,Cu0.99In1.01Se2.01,1.08
1288,In0.5Ga0.5P,1.9
1289,Ge0.9Si0.1,0.8
1290,EuO,1.12
1291,TlGaSe2,1.65
1292,NaCl,8.4
1293,In4Se3,0.64
1294,CsErZnSe3,2.63
1295,InSe,1.3
1296,NaGaGe3Se8,2.35
1297,Bi3F3I4O13,3.7
1298,Pb0.94Sn0.06Se,0.22
1299,SnSe,0.9
1300,Cu3HoSe3,0.16
1301,RbInGeS4,3.1
1302,Cu2Se,1.1
1303,AgF,2.8
1304,KSbSe2,1.65
1305,Cu2Ga4Te7,1.18
1306,Sm2Sc3,2.3
1307,ZnO,3.25
1308,CdSnAs2,0.41
1309,Cd4As2I3,2.3
1310,WSe2,1.35
1311,Ba3B1.5S6Bi0.5,2.43
1312,Hg2Br2,2.6
1313,CdSb,0.42
1314,GaN,3.48
1315,BaSnO3,3.1
1316,Cs8Ga8Si38,1.14
1317,Ca5B3O9F,6.53
1318,BiOI,1.89
1319,PrO,0.55
1320,In6Se7,0.86
1321,SnS0.01Se0.99,0.95
1322,TlBr,3.12
1323,Hg6As4CdBr6,1.89
1324,YB66,0.8
1325,Bi3Ge3O10.5,3.3
1326,CrO2,0.23
1327,Pb0.98Se0.98Bi0.04Te0.06,0.28
1328,Cs3Bi,0.7
1329,V2O5,2.32
1330,GdB6,3.6
1331,La2S3,2.77
1332,Zn3As2,0.93
1333,Li4.5Mn0.5TeO6,1.97
1334,Rb2Te,4.5
1335,InSb0.4As0.6,0.1
1336,Ce3MoO7,2
1337,Pd3P2S8,2.12
1338,BaTiO3,3.1
1339,Cs2TiAg2S4,2.44
1340,InP,1.42
1341,Ga0.1As0.1Zn0.9Se0.9,2.34
1342,Zn3As2,0.96
1343,Ag0.4Cd0.2In2.4Te4,0.42
1344,PbS,0.44
1345,Y3GaS6,2.88
1346,Sc2O3,6.2
1347,Y6ZnSi2S14,2.38
1348,Tl2Cu2SnS4,1.4
1349,Ba3MgTa2O9,4.28
1350,Na3ZnB5O10,3.2
1351,LiBiS2,0.19
1352,GaAs,1.51
1353,KNbSe2O7,4
1354,NiP2,0.73
1355,ZnO,3.42
1356,GaSe,2.12
1357,CdGeAs2,1.1
1358,InS,2.07
1359,Nd2S3,2.65
1360,HfO2,5.55
1361,Rb2TiAg2S4,2.33
1362,AgInSe2,1.24
1363,La3InGe0.5S7,2.61
1364,Ba2InYSe5,2.31
1365,Pb0.8Se0.8Bi0.4Te0.6,0.22
1366,Pb6Sb6Se17,0.8
1367,Ba2GaBiSe5,2.21
1368,GaSe,2.1
1369,As2S3,2.8
1370,As2S3,2.57
1371,CdSe,1.87
1372,K2Cu2Sn2Se6,1.04
1373,ErN,3
1374,As2Se3,1.7
1375,TlCuCl3,2.98
1376,Er2Mo3O12,0.96
1377,Ba4Ge3Se9Cl2,1.89
1378,CuPbBiSe3,0.07
1379,Eu3As2,0.6
1380,HgCl2,4.45
1381,SrO,5.77
1382,Zn3As2,1
1383,TlSe,0.8
1384,AgInO2,4.2
1385,BaPdSe6,2.15
1386,AgS,1.3
1387,Cu3HoTe3,0.26
1388,ZnTe,2.37
1389,SbI3,2.49
1390,K4Ba2Nb4S22,1.77
1391,SnSi,0.59
1392,CoSbS,0.11
1393,InAs,0.41
1394,Pb0.999TeTl0.001,0.3
1395,Ge40.0Te5.3I8,0.8
1396,AlSb,1.68
1397,Ag3AsSe3,2.18
1398,Cs2Cd3Te4,2.48
1399,PdI2O6,1.31
1400,Ba3BSbS6,2.62
1401,Ba2GaNdSe5,2.18
1402,ZnGeP2,2
1403,K2CuGa3Se6,1.72
1404,CdSiAs2,1.62
1405,NaBiSe2,0.35
1406,Bi2Te2.1Se0.9,0.29
1407,Ta0.67Zr1.33O1.38N1.97,2.31
1408,Cd8B5O15F,3.14
1409,As2Te3,1.59
1410,Hg0.08Zn0.92Te,1.9
1411,TlHgInS3,1.74
1412,KTiPO5,3.54
1413,RbI,6.25
1414,GaS,2.59
1415,EuIn2Te4,1.22
1416,As2S3,2.37
1417,Tb2O3,3
1418,LiGaS2,4.15
1419,K2TiCu2S4,2.04
1420,KAu5PS8,2.14
1421,GaAs,1.51
1422,Tl4Ta2S11,1.26
1423,Er3SmSe6,2
1424,Pb0.6Ge0.4Te,0.51
1425,ZnS,3.7
1426,CrTe2,0.17
1427,CuCl,3.2
1428,PbS,0.28
1429,Bi2O3,2.86
1430,Cu0.9Ga1.1Se2.1,1.59
1431,CuFeTe2,0.16
1432,NdF3,6.15
1433,Pb0.85Se0.85Sn0.15Se0.15,0.22
1434,Hg0.4Cd0.6Se,0.7
1435,AgAsTe2,0.8
1436,SbSi,1.9
1437,GaAs,1.51
1438,Hg4As2CdI4,1.45
1439,Cu0.9In1.1Se2.1,1.06
1440,Cs4BiAs3Se7,1.02
1441,SrMgSnSe4,2
1442,Pb2BO4H,3.76
1443,K4Nb2S11,1.96
1444,LiAsSe2,1.11
1445,K2Sn3Sb2S10,2.3
1446,NaSbS2,1.48
1447,CuCl,3.28
1448,LiCa3As2H,1.4
1449,PbO2,1.4
1450,Pb0.8Sn0.2Se,0.06
1451,La2Se3,1.65
1452,ZnO,3.45
1453,CdS,2.42
1454,GeSn,0.8
1455,Bi1.6Te3Sb0.4,0.16
1456,GdN,1.54
1457,AgInS2,2
1458,Lu2CrS4,1.75
1459,MnF2,9.9
1460,CuGa2Se4,0.63
1461,La8Sb2S15,2.3
1462,Zn3Sb2,0.22
1463,NaCl,8.6
1464,Ag5IO6,1.4
1465,UY4O3S5,1.95
1466,Ta0.67Zr1.33O0.42N2.61,1.93
1467,InSe,1.26
1468,GeS,1.69
1469,Tl2GeTe3,0.37
1470,ZnGeP2,2.1
1471,Zn2LiGaO4,4
1472,BiIO3F2,3.97
1473,TlSbTe3,0.38
1474,Ba3B1.5S6Sb0.5,3.01
1475,GeSe2O6,5.31
1476,Pb0.87Sn0.13Se,0.02
1477,Cu3AsSe4,0.65
1478,AgTe,0.73
1479,Cd3Bi2,0.2
1480,RbBi3Se4Te,0.8
1481,DyAs,1
1482,Bi25TiO39,3.1
1483,Rb2TeBr6,2.14
1484,In2Se,0.69
1485,GeAs,1.45
1486,YVSeO10,2.7
1487,InSb,0.24
1488,KCu4AsS4,1.9
1489,K2ZnSn3S8,2.3
1490,B2O3,4.9
1491,As2S3,2.21
1492,PdS2,0.75
1493,GaS,2.59
1494,AgScO2,3.8
1495,ZnIn2S4,2.86
1496,CdSiP2,2.16
1497,CdGeAs2,0.53
1498,Gd2Mo3O12,4.06
1499,PbS,0.42
1500,AgGaTe2,1.1
1501,ScTiNbO6,3.58
1502,La3Sb0.33SiS7,1.92
1503,Cd4Sb2I3,1.83
1504,Ga2GeTe3,0.85
1505,Pb0.99Sn0.01Se,0.16
1506,GaAs0.15Sb0.85,1.1
1507,LiInS2,3.57
1508,Cu0.7In1.3Se2.3,1.1
1509,PbSe,0.15
1510,Ga0.95Sb0.95Cd0.05Te0.05,0.74
1511,Cu0.3In1.7Se2.7,1.21
1512,Cu0.15Ga1.85Se2.85,1.92
1513,GeO2,5.56
1514,CsYHgSe3,2.54
1515,Pr2Se3,1.8
1516,SiSe2,1.72
1517,Pb2N2SeO9,3.76
1518,Pb0.94Sn0.06Se,0.17
1519,Tl2BiP2S7,1.8
1520,SnS0.4Se0.6,0.98
1521,GeS,1.74
1522,Pb0.999Se0.999Sn0.001Se0.001,0.32
1523,In2Se2O7,2.97
1524,NH6PO4,6.81
1525,In2Se3,1
1526,SiSe2,1.73
1527,NaInSnS4,2.4
1528,Cs2TeBr6,2.12
1529,K0.6Cs0.4PSe6,2.1
1530,Ca2Ge,1
1531,Ba2ZnTe3,2.1
1532,Zn2In2S5,2.7
1533,CuGaO2,1.47
1534,Ni2InVO6,1.92
1535,PrB6,4.9
1536,Rb2Mo3Se3O16,3.1
1537,CdS,2.43
1538,RbInS2,3.3
1539,Ga1.001Sb0.999Se0.003,0.71
1540,BaGa4S7,3.54
1541,CuIn3Te5,1.2
1542,LiMgAs,0.7
1543,InSb,0.18
1544,Ba2ZnV2O8,3.48
1545,TlSe,0.57
1546,Bi2SI2O11,3.74
1547,Pb0.99Ge0.01Te,0.32
1548,ZrSe3,1.25
1549,ZnTe,2.26
1550,ZnSb,1.05
1551,Rb2AgPS4,2.6
1552,BaCu2SnSe4,0.48
1553,BiPO4,3.85
1554,Na2Se,2
1555,InAs,0.35
1556,La4FeSb2S10,1
1557,GdSb2BO8,3.48
1558,SbSeI,1.68
1559,SiSn,0.59
1560,Ba2Ga8SiS16,3.4
1561,PbS,0.37
1562,RbI,6.37
1563,Cu3AsS4,1.48
1564,Ag3SbS3,2.1
1565,K2Cu2Sn2S6,1.47
1566,Sb2Te3,0.35
1567,Zn0.8Hg0.2Se,1.4
1568,EuO,1.12
1569,Ag2V2I4O16,2.24
1571,HgO,2.48
1572,NaNb2PS10,1.72
1573,CuGa3Se5,1.75
1574,Zn2MoTeO7,4.1
1575,TlInS2,2.25
1576,ScTa2O5N,2.67
1577,AgInS2,1.88
1578,CdAs2,1.13
1579,Ag0.25Cd0.5In2.25Te4,0.39
1580,In6S7,0.95
1581,TbSb2BO8,3.53
1582,TlPrSe2,1.18
1583,BaGa2SnSe6,1.6
1584,GeSe2,2.3
1585,ZnO,3.44
1586,ZnTe,2.1
1587,In2Se3,1.38
1588,Ag2SnSe3,0.84
1589,AgGaSe2,1.3
